Customer_ID,Name,Email,Gender,Age,City,Country,Date_of_Purchase,Product_Category,Purchase_Amount,Payment_Method,Loyalty_Member,Satisfaction_Score
0e1e5ebd-ff99-4e31-9006-e0eb63a84422,Richard Bryant,heatherweber@gmail.com,Female,54,West Jasmineport,Zimbabwe,24/09/2023,Beauty,807.85,Credit Card,Yes,2
c3649c91-faca-40d4-956e-09491de58d73,Jeffrey Stevens,charleschristian@smith.org,Other,52,Cheyennestad,Gabon,05/07/2023,Sports,433.16,Bank Transfer,Yes,5
1336eb28-33ba-4e1b-80ff-8beb631eb726,Robert Sanchez,karenwalsh@gmail.com,Male,40,Williamsonfort,Cook Islands,28/04/2024,Electronics,122.26,Credit Card,No,5
d076ddad-317e-43a4-ab16-b1fd14ca728c,Taylor Mullins,lisa34@cruz.info,Male,23,Mariaport,Bhutan,28/09/2023,Electronics,439.39,PayPal,Yes,4
f830aa05-d2d4-4d05-95b8-23649ca4d06c,Andrew Owens,lynn63@hotmail.com,Other,21,North Pamelaton,Svalbard & Jan Mayen Islands,20/07/2023,Books,462.73,Credit Card,No,3
0c443b8c-0686-44e7-9abd-385cd2c569ab,Tiffany Clark,jeffreylove@hardin-crosby.com,Male,35,Brownborough,Saint Vincent and the Grenadines,20/08/2023,Electronics,555.43,Debit Card,No,4
871eb65c-600c-4bc0-90f3-f41ff2020876,Raymond Luna,umartin@hotmail.com,Other,26,Jeremiahville,Paraguay,05/08/2024,Home,114.53,PayPal,Yes,2
477cbc8c-a5f6-44d7-9cb0-76a20e551d71,Angela Porter,coxcassidy@gmail.com,Other,66,South Tanner,Egypt,24/02/2025,Clothing,991.49,Bank Transfer,No,3
9b45caa9-a13e-432a-8b04-50671481b96b,Mary Diaz,nprice@gmail.com,Male,46,Erinhaven,French Polynesia,02/06/2024,Home,251.7,PayPal,No,5
5246cc34-bcdb-4579-9b9b-318b12bacc10,Marcus Jones,andrew99@hoover-hernandez.net,Male,30,New Tylerport,Thailand,17/12/2024,Sports,206.57,PayPal,No,2
c60e35b6-6864-4e6b-b400-c7a10de825b2,Jordan Hurst,kristin16@chan.com,Other,64,South Michellestad,United Arab Emirates,27/03/2025,Electronics,531.53,PayPal,Yes,2
859530c1-a129-4a39-9ce6-ea642d5c4588,James Reyes,susanhawkins@palmer-rice.com,Female,69,North Marystad,Nicaragua,24/12/2023,Home,541.84,PayPal,No,3
